guid,Country,Country:xx,"Country info","Country info:xx",Capital,Capital:xx,"Capital info","Capital info:xx","Capital hint","Capital hint:xx",Flag,"Flag similarity","Flag similarity:xx",Map,tags
hpQkX6n$.*,Rwanda,,,,Kigali,,,,,,"<img src=""ug-flag-rwanda.svg"" />",,,"<img src=""ug-map-rwanda.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
rt`v%xKZAN,Senegal,,,,Dakar,,,,,,"<img src=""ug-flag-senegal.svg"" />","Cameroon (green/red/yellow, yellow star)",,"<img src=""ug-map-senegal.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"
f3)B2N]t)@,Seychelles,,,,Victoria,,,,,,"<img src=""ug-flag-seychelles.svg"" />",,,"<img src=""ug-map-seychelles.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
sOb`>T?fSr,"Sierra Leone",,,,Freetown,,,,,,"<img src=""ug-flag-sierra_leone.svg"" />",,,"<img src=""ug-map-sierra_leone.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"
cu1g@NblAd,"South Africa",,,,"Pretoria, Cape Town, Bloemfontein",,"South Africa has no legally defined capital: the branches of government are split over three cities: Pretoria (executive), Cape Town (legislative) and Bloemfontein (judicial).",,,,"<img src=""ug-flag-south_africa.svg"" />",,,"<img src=""ug-map-south_africa.png"" />","UG::Africa UG::Sovereign_State"
iv2`s6j8.F,Sudan,,,,Khartoum,,,,,,"<img src=""ug-flag-sudan.svg"" />","Palestine (red arrow, green stripe)",,"<img src=""ug-map-sudan.png"" />","UG::Africa UG::Sovereign_State"
ce:l#d*BY_,Eswatini,,"Known as Swaziland until 2018.",,Mbabane,,"While Mbabane is the official, executive capital, Lobamba is the traditional, spiritual and legislative capital.",,,,"<img src=""ug-flag-eswatini.svg"" />",,,"<img src=""ug-map-eswatini.png"" />","UG::Africa UG::Sovereign_State"
nw=/_pNoq?,Tanzania,,,,Dodoma,,"While Dodoma is the official capital, Dar es Salaam is the de facto seat of government.",,,,"<img src=""ug-flag-tanzania.svg"" />",,,"<img src=""ug-map-tanzania.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
rr3dJmql2q,Togo,,,,Lomé,,,,,,"<img src=""ug-flag-togo.svg"" />",,,"<img src=""ug-map-togo.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"
d_DiXa|fP%,Tunisia,,,,Tunis,,,,,,"<img src=""ug-flag-tunisia.svg"" />",,,"<img src=""ug-map-tunisia.png"" />","UG::Africa UG::Mediterranean UG::Sovereign_State"
e4=DR/pxJO,Uganda,,,,Kampala,,,,,,"<img src=""ug-flag-uganda.svg"" />",,,"<img src=""ug-map-uganda.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
a$T5KE(n!#,"Sahrawi Arab Democratic Republic",,"Partially recognised state claimed by Morocco.",,Laayoune,,"While Laayoune, also known as El Aaiún, is the declared capital, Tifariti is the de facto seat of government.",,,,"<img src=""ug-flag-sahrawi_arab_democratic_republic.svg"" />",,,"<img src=""ug-map-sahrawi_arab_democratic_republic.png"" />","UG::Africa UG::Sovereign_State"
d98-ll&5O!,Zambia,,,,Lusaka,,,,,,"<img src=""ug-flag-zambia.svg"" />",,,"<img src=""ug-map-zambia.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
"py.},59SZz",Zimbabwe,,,,Harare,,,,,,"<img src=""ug-flag-zimbabwe.svg"" />",,,"<img src=""ug-map-zimbabwe.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"
cB]XeL7sC?,"Canary Islands",,"Autonomous community of Spain.",,,,,,,,,,,"<img src=""ug-map-canary_islands.png"" />",UG::Africa
keRnJo7r)C,Afghanistan,,,,Kabul,,,,,,"<img src=""ug-flag-afghanistan.png"" />",,,"<img src=""ug-map-afghanistan.png"" />","UG::Asia UG::Sovereign_State"
q5<Hr:l]lD,Bahrain,,,,Manama,,,,,,"<img src=""ug-flag-bahrain.svg"" />","Qatar (wider, more serrated edges, maroon)",,"<img src=""ug-map-bahrain.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
jrw*QcSd7),Bangladesh,,,,Dhaka,,,,,,"<img src=""ug-flag-bangladesh.svg"" />",,,"<img src=""ug-map-bangladesh.png"" />","UG::Asia UG::Sovereign_State"
i?s-)M+3LC,Bhutan,,,,Thimphu,,,,,,"<img src=""ug-flag-bhutan.svg"" />",,,"<img src=""ug-map-bhutan.png"" />","UG::Asia UG::Sovereign_State"
q|wxe1INFn,Brunei,,,,"Bandar Seri Begawan",,,,,,"<img src=""ug-flag-brunei.svg"" />",,,"<img src=""ug-map-brunei.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
k.(}S1;!u+,China,,,,Beijing,,,,,,"<img src=""ug-flag-china.svg"" />",,,"<img src=""ug-map-china.png"" />","UG::Asia UG::Sovereign_State"
~`lJPp4XaN,Cambodia,,,,"Phnom Penh",,,,,,"<img src=""ug-flag-cambodia.svg"" />",,,"<img src=""ug-map-cambodia.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
q9FSnNXA%>,Indonesia,,,,Jakarta,,,,,,"<img src=""ug-flag-indonesia.svg"" />","Monaco (narrower, darker red), Poland (red and white flipped, darker red)",,"<img src=""ug-map-indonesia.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
obg]3w:]w`,India,,,,"New Delhi",,,,,,"<img src=""ug-flag-india.svg"" />",,,"<img src=""ug-map-india.png"" />","UG::Asia UG::Sovereign_State"
j1J!`:2g=S,"Hong Kong",,"Special Administrative Region of China.",,,,,,,,"<img src=""ug-flag-hong_kong.svg"" />",,,"<img src=""ug-map-hong_kong.png"" />",UG::Asia
kN7ucSA]77,Iran,,,,Tehran,,,,,,"<img src=""ug-flag-iran.svg"" />",,,"<img src=""ug-map-iran.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
gV:vI&!;j7,Israel,,,,Jerusalem,,,,,,"<img src=""ug-flag-israel.svg"" />",,,"<img src=""ug-map-israel.png"" />","UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State"
h-e/pKcWcK,Iraq,,,,Baghdad,,,,,,"<img src=""ug-flag-iraq.svg"" />","Egypt (emblem instead of text), Syria (two stars instead of text), Yemen (no text)",,"<img src=""ug-map-iraq.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
fBIl?(O;GK,"South Korea",,,,Seoul,,,,,,"<img src=""ug-flag-south_korea.svg"" />",,,"<img src=""ug-map-south_korea.png"" />","UG::Asia UG::Sovereign_State"
pf9?iCrnq3,"North Korea",,,,Pyongyang,,,,,,"<img src=""ug-flag-north_korea.svg"" />",,,"<img src=""ug-map-north_korea.png"" />","UG::Asia UG::Sovereign_State"
gpAm`b+<@$,Jordan,,,,Amman,,,,,,"<img src=""ug-flag-jordan.svg"" />",,,"<img src=""ug-map-jordan.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
jKz8&brS?Q,Japan,,,,Tokyo,,,,,,"<img src=""ug-flag-japan.svg"" />",,,"<img src=""ug-map-japan.png"" />","UG::Asia UG::Sovereign_State"
k5Lsw~?CS<,Lebanon,,,,Beirut,,,,,,"<img src=""ug-flag-lebanon.svg"" />",,,"<img src=""ug-map-lebanon.png"" />","UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State"
g`wTk)sEO;,Laos,,,,Vientiane,,,,,,"<img src=""ug-flag-laos.svg"" />",,,"<img src=""ug-map-laos.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
nWR|<-!<3D,Kyrgyzstan,,,,Bishkek,,,,,,"<img src=""ug-flag-kyrgyzstan.svg"" />",,,"<img src=""ug-map-kyrgyzstan.png"" />","UG::Asia UG::Sovereign_State"
c6[_RRw1RP,Kuwait,,,,"Kuwait City",,,,,,"<img src=""ug-flag-kuwait.svg"" />",,,"<img src=""ug-map-kuwait.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
jqRl$9tc|=,Myanmar,,"Also known as Burma.",,Naypyidaw,,,,,,"<img src=""ug-flag-myanmar.svg"" />",,,"<img src=""ug-map-myanmar.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
bcKCjo|@FB,Mongolia,,,,Ulaanbaatar,,,,,,"<img src=""ug-flag-mongolia.svg"" />",,,"<img src=""ug-map-mongolia.png"" />","UG::Asia UG::Sovereign_State"
f{.=@!vp[F,Maldives,,,,Malé,,,,,,"<img src=""ug-flag-maldives.svg"" />",,,"<img src=""ug-map-maldives.png"" />","UG::Asia UG::Sovereign_State"
kW|_Dl/sH;,Malaysia,,,,"Kuala Lumpur",,,,,,"<img src=""ug-flag-malaysia.svg"" />",,,"<img src=""ug-map-malaysia.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
"c$,^My)7,o",Oman,,,,Muscat,,,,,,"<img src=""ug-flag-oman.svg"" />",,,"<img src=""ug-map-oman.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
"jc,5d-!25%",Nepal,,,,Kathmandu,,,,,,"<img src=""ug-flag-nepal-nobox.svg"" />",,,"<img src=""ug-map-nepal.png"" />","UG::Asia UG::Sovereign_State"
eyzMdbI<py,Palestine,,,,Ramallah,,,,,,"<img src=""ug-flag-palestine.svg"" />","Sudan (green arrow, red stripe)",,"<img src=""ug-map-palestine.png"" />","UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State"
g-=f.1BY3@,Pakistan,,,,Islamabad,,,,,,"<img src=""ug-flag-pakistan.svg"" />",,,"<img src=""ug-map-pakistan.png"" />","UG::Asia UG::Sovereign_State"
"kIW,oO0t&9",Qatar,,,,Doha,,,,,,"<img src=""ug-flag-qatar.svg"" />","Bahrain (narrower, fewer serrated edges, red)",,"<img src=""ug-map-qatar.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
"jZB|XiS`N,","Saudi Arabia",,,,Riyadh,,,,,,"<img src=""ug-flag-saudi_arabia.svg"" />",,,"<img src=""ug-map-saudi_arabia.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
a:xcf2;d`h,Singapore,,,,Singapore,,,,,,"<img src=""ug-flag-singapore.svg"" />",,,"<img src=""ug-map-singapore.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
czq?(.f9rK,Syria,,,,Damascus,,,,,,"<img src=""ug-flag-syria.svg"" />","Egypt (emblem instead of stars), Iraq (text instead of stars), Yemen (no stars)",,"<img src=""ug-map-syria.png"" />","UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State"
kDeaNFo$(Q,Taiwan,,"Partially recognised state claimed by China.",,Taipei,,,,,,"<img src=""ug-flag-taiwan.svg"" />",,,"<img src=""ug-map-taiwan.png"" />","UG::Asia UG::Sovereign_State"
ei3G6ous#%,"Sri Lanka",,,,"Sri Jayawardenepura Kotte",,"Colombo is often referred to as the capital but Sri Jayawardenepura Kotte, a suburb of Colombo, is the official, legislative capital.",,,,"<img src=""ug-flag-sri_lanka.svg"" />",,,"<img src=""ug-map-sri_lanka.png"" />","UG::Asia UG::Sovereign_State"
eLiW%Al2Is,Tajikistan,,,,Dushanbe,,,,,,"<img src=""ug-flag-tajikistan.svg"" />",,,"<img src=""ug-map-tajikistan.png"" />","UG::Asia UG::Sovereign_State"
f)aQmJp.B?,Thailand,,,,Bangkok,,,,,,"<img src=""ug-flag-thailand.svg"" />",,,"<img src=""ug-map-thailand.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
"d@=,E(oqDu","East Timor",,"Also known as Timor-Leste.",,Dili,,,,,,"<img src=""ug-flag-east_timor.svg"" />",,,"<img src=""ug-map-east_timor.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
mLG*@5t=NG,"United Arab Emirates",,,,"Abu Dhabi",,,,,,"<img src=""ug-flag-united_arab_emirates.svg"" />",,,"<img src=""ug-map-united_arab_emirates.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
stDJ0UMUpB,Turkmenistan,,,,Ashgabat,,,,,,"<img src=""ug-flag-turkmenistan.svg"" />",,,"<img src=""ug-map-turkmenistan.png"" />","UG::Asia UG::Sovereign_State"
cd|8X=p-KA,Yemen,,,,Sana'a,,,,,,"<img src=""ug-flag-yemen.svg"" />","Egypt (with emblem), Iraq (with text), Syria (with two stars)",,"<img src=""ug-map-yemen.png"" />","UG::Asia UG::Middle_East UG::Sovereign_State"
n(u/Le9LCH,Vietnam,,,,Hanoi,,,,,,"<img src=""ug-flag-vietnam.svg"" />",,,"<img src=""ug-map-vietnam.png"" />","UG::Asia UG::Southeast_Asia UG::Sovereign_State"
kN&[K]7`>c,Uzbekistan,,,,Tashkent,,,,,,"<img src=""ug-flag-uzbekistan.svg"" />",,,"<img src=""ug-map-uzbekistan.png"" />","UG::Asia UG::Sovereign_State"
e%F*sk0uaT,Fiji,,,,Suva,,,,,,"<img src=""ug-flag-fiji.svg"" />",,,"<img src=""ug-map-fiji.png"" />","UG::Oceania UG::Sovereign_State"
jT[(te+7i%,"Papua New Guinea",,,,"Port Moresby",,,,,,"<img src=""ug-flag-papua_new_guinea.svg"" />",,,"<img src=""ug-map-papua_new_guinea.png"" />","UG::Oceania UG::Sovereign_State"
i~E.z}UxNF,Australia,,,,Canberra,,,,,,"<img src=""ug-flag-australia.svg"" />","New Zealand (red stars, two fewer stars)",,"<img src=""ug-map-australia.png"" />","UG::Oceania UG::Sovereign_State"
pAOtFl&>U#,"Solomon Islands",,,,Honiara,,,,,,"<img src=""ug-flag-solomon_islands.svg"" />",,,"<img src=""ug-map-solomon_islands.png"" />","UG::Oceania UG::Sovereign_State"
"lnwLD_&,vQ",Argentina,,,,"Buenos Aires",,,,,,"<img src=""ug-flag-argentina.svg"" />",,,"<img src=""ug-map-argentina.png"" />","UG::South_America UG::Sovereign_State"
iT9GkRCv}3,Bolivia,,,,Sucre,,"While Sucre is the constitutional capital, La Paz is the seat of government.",,,,"<img src=""ug-flag-bolivia-blur.png"" /><img src=""ug-flag-bolivia.png"" />","Ghana (star instead of coat of arms)",,"<img src=""ug-map-bolivia.png"" />","UG::South_America UG::Sovereign_State"
q1+V%/.{Ud,Brazil,,,,Brasilia,,,,,,"<img src=""ug-flag-brazil.svg"" />",,,"<img src=""ug-map-brazil.png"" />","UG::South_America UG::Sovereign_State"
ohAyl/RDzo,Chile,,,,Santiago,,,,,,"<img src=""ug-flag-chile.svg"" />",,,"<img src=""ug-map-chile.png"" />","UG::South_America UG::Sovereign_State"
f0(HVIK@$w,Colombia,,,,Bogotá,,,,,,"<img src=""ug-flag-colombia.svg"" />","Ecuador (with coat of arms)",,"<img src=""ug-map-colombia.png"" />","UG::South_America UG::Sovereign_State"
jY<1R8gh$5,Ecuador,,,,Quito,,,,,,"<img src=""ug-flag-ecuador.png"" />","Colombia (no coat of arms)",,"<img src=""ug-map-ecuador.png"" />","UG::South_America UG::Sovereign_State"
ow]5&Kht`e,Guyana,,,,Georgetown,,,,,,"<img src=""ug-flag-guyana.svg"" />",,,"<img src=""ug-map-guyana.png"" />","UG::South_America UG::Sovereign_State"
qksH)(ibFv,Paraguay,,,,Asunción,,,,,,"<img src=""ug-flag-paraguay-blur.svg"" /><img src=""ug-flag-paraguay.svg"" />",,,"<img src=""ug-map-paraguay.png"" />","UG::South_America UG::Sovereign_State"
h%Lx8uxLJ{,Peru,,,,Lima,,,,,,"<img src=""ug-flag-peru.png"" />",,,"<img src=""ug-map-peru.png"" />","UG::South_America UG::Sovereign_State"
"i0)jG,7&w>",Suriname,,,,Paramaribo,,,,,,"<img src=""ug-flag-suriname.svg"" />",,,"<img src=""ug-map-suriname.png"" />","UG::South_America UG::Sovereign_State"
cBO(I-Le=v,Uruguay,,,,Montevideo,,,,,,"<img src=""ug-flag-uruguay.svg"" />",,,"<img src=""ug-map-uruguay.png"" />","UG::South_America UG::Sovereign_State"
mkj;-5D/)m,Venezuela,,,,Caracas,,,,,,"<img src=""ug-flag-venezuela.png"" />",,,"<img src=""ug-map-venezuela.png"" />","UG::South_America UG::Sovereign_State"
qd$w_!A9y<,"Cook Islands",,,,Avarua,,,,,,"<img src=""ug-flag-cook_islands.svg"" />",,,"<img src=""ug-map-cook_islands.png"" />","UG::Oceania UG::Sovereign_State"
iaA$(k1aV>,"Federated States of Micronesia",,,,Palikir,,,,,,"<img src=""ug-flag-federated_states_of_micronesia.svg"" />",,,"<img src=""ug-map-federated_states_of_micronesia.png"" />","UG::Oceania UG::Sovereign_State"
b`8}eUH!Ii,Guam,,"Unincorporated territory of the United States.",,Hagåtña,,,,,,"<img src=""ug-flag-guam-blur.svg"" /><img src=""ug-flag-guam.svg"" />",,,"<img src=""ug-map-guam.png"" />",UG::Oceania
(q~{y)|kE,Vanuatu,,,,"Port Vila",,,,,,"<img src=""ug-flag-vanuatu.svg"" />",,,"<img src=""ug-map-vanuatu.png"" />","UG::Oceania UG::Sovereign_State"
cBPu]M1k/$,Canada,,,,Ottawa,,,,,,"<img src=""ug-flag-canada.svg"" />",,,"<img src=""ug-map-canada.png"" />","UG::North_America UG::Sovereign_State"
~C-y];LuK3,"United States of America",,,,"Washington, D.C.",,,,,,"<img src=""ug-flag-united_states_of_america.svg"" />",,,"<img src=""ug-map-united_states_of_america.png"" />","UG::North_America UG::Sovereign_State"
"q9/,0kK9h>",Mexico,,,,"Mexico City",,,,,,"<img src=""ug-flag-mexico.png"" />",,,"<img src=""ug-map-mexico.png"" />","UG::North_America UG::Sovereign_State"
rcI^]YY+!g,"Puerto Rico",,"Unincorporated territory of the United States.",,"San Juan",,,,,,"<img src=""ug-flag-puerto_rico.svg"" />","Cuba (red triangle, blue stripes)",,"<img src=""ug-map-puerto_rico.png"" />","UG::Caribbean UG::North_America"
p>MR5vWbwJ,Cuba,,,,Havana,,,,,,"<img src=""ug-flag-cuba.svg"" />","Puerto Rico (blue triangle, red stripes)",,"<img src=""ug-map-cuba.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
j$5&q7O&%>,"Dominican Republic",,,,"Santo Domingo",,,,,,"<img src=""ug-flag-dominican_republic.png"" />",,,"<img src=""ug-map-dominican_republic.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
f}r?r8kW=^,Haiti,,,,Port-au-Prince,,,,,,"<img src=""ug-flag-haiti.svg"" />",,,"<img src=""ug-map-haiti.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
fnDvVbeE_Z,Jamaica,,,,Kingston,,,,,,"<img src=""ug-flag-jamaica.svg"" />",,,"<img src=""ug-map-jamaica.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
re`5rw99TD,"Trinidad and Tobago",,,,"Port of Spain",,,,,,"<img src=""ug-flag-trinidad_and_tobago.svg"" />",,,"<img src=""ug-map-trinidad_and_tobago.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
e%!;xc:jxC,Bermuda,,"Overseas territory of the United Kingdom.",,,,,,,,,,,"<img src=""ug-map-bermuda.png"" />","UG::Caribbean UG::North_America"
"r]V9W,sj5i",Guadeloupe,,"Overseas department of France.",,,,,,,,,,,"<img src=""ug-map-guadeloupe.png"" />","UG::Caribbean UG::North_America"
>e=4!;^#_,"The Bahamas",,,,Nassau,,,,,,"<img src=""ug-flag-the_bahamas.svg"" />",,,"<img src=""ug-map-the_bahamas.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
cIMc3Nzy>W,Barbados,,,,Bridgetown,,,,,,"<img src=""ug-flag-barbados.svg"" />",,,"<img src=""ug-map-barbados.png"" />","UG::Caribbean UG::North_America UG::Sovereign_State"
rOVL2(d0m^,Belize,,,,Belmopan,,,,,,"<img src=""ug-flag-belize.png"" />",,,"<img src=""ug-map-belize.png"" />","UG::North_America UG::Sovereign_State"
"s,m:kRL/53","Costa Rica",,,,"San José",,,,,,"<img src=""ug-flag-costa_rica.png"" />",,,"<img src=""ug-map-costa_rica.png"" />","UG::North_America UG::Sovereign_State"
il{B6F&ui9,"El Salvador",,,,"San Salvador",,,,,,"<img src=""ug-flag-el_salvador-blur.png"" /><img src=""ug-flag-el_salvador.png"" />","Nicaragua (different coat of arms, slightly lighter blue)",,"<img src=""ug-map-el_salvador.png"" />","UG::North_America UG::Sovereign_State"
b^_Av:%|%E,Guatemala,,,,"Guatemala City",,,,,,"<img src=""ug-flag-guatemala.png"" />",,,"<img src=""ug-map-guatemala.png"" />","UG::North_America UG::Sovereign_State"
