country,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,flag similarity:cs,flag similarity:ru,flag similarity:nl,flag similarity:sv,flag similarity:pt,flag similarity:zh,flag similarity:zh-tw,flag similarity:pl,flag similarity:it,flag similarity:da
Andorra,"Moldova (wider, coat of arms with eagle)","Republik Moldau/Moldawien (breiter, Wappen mit Adler)","Moldavia (más ancha, escudo con águila)","Moldavie (plus large, blason avec un aigle)","Moldova (bredere, våpenskjold med ørn)","Moldavsko (širší, erb s orlem)","Молдова (шире, герб с орлом)","Moldavië (breder, wapen met adelaar)","Moldavien (bredare, vapensköld med örn)","Moldávia (mais larga, brasão com águia)",摩尔多瓦(更宽，鹰纹),摩爾多瓦(更寬、老鷹),"Mołdawia (szersza, godło z orłem)","Moldavia (più larga, stemma con un'aquila)","Moldova (bredere, våbenskjold med ørn)"
Austria,"Latvia (darker red, narrower white band)","Lettland (dunkleres rot, dünneres weißes Band)","Letonia (rojo más oscuro, banda blanca más estrecha)","Lettonie (rouge plus foncé, bande blanche plus étroite)","Latvia (mørkere rød, smalere hvitt bånd)","Lotyšsko (tmavší červená, užší bílý pruh)","Латвия (более темная красная, более узкая белая полоса)","Letland (donkerder rood, smallere witte band)","Lettland (mörkare röd, smalare vitt band)","Letônia (vermelho mais escuro, faixa branca mais estreita)",拉脱维亚(较深的红色，较窄的白色带),拉脫維亞(更深紅、窄白線),"Łotwa (ciemniejsza czerwień, węższy biały pas)","Lettonia (rosso più scuro, banda bianca più stretta)","Letland (mørkere rød, smallere hvid stribe)"
Faroe Islands,"Iceland (blue background, red and white cross), Norway (red background, blue and white cross)","Island (blauer Hintergrund,rotes und weißes Kreuz), Norwegen (roter Hintergrund, blaues und weißes Kreuz)","Islandia (fondo azul, cruz roja y blanca), Noruega (fondo rojo, cruz azul y blanca)","Islande (fond bleu, croix rouge et blanche), Norvège (fond rouge, croix bleue et blanche)","Island (blå bakgrunn, rødt og hvitt kors), Norge (rød bakgrunn, blått og hvitt kors)","Island (modré pozadí, červený a bílý kříž), Norsko (červené pozadí, modrý a bílý kříž)","Исландия (синий фон, красный и белый крест), Норвегия (красный фон, синий и белый крест)","IJsland (blauwe achtergrond, rood met wit kruis), Noorwegen (rode achtergrond, blauw met wit kruis)","Island (blå bakgrund, rött och vitt kors), Norge (röd bakgrund, blått och vitt kors)","Islândia (fundo azul, cruz vermelha e branca) e Noruega (fundo vermelho, cruz azul e branca)",冰岛(蓝底，红白交叉)，挪威(红底，蓝白交叉),冰島(藍底、紅白十字)、挪威(紅底、藍白十字),"Islandia (niebieskie tło, czerwono-biały krzyż), Norwegia (czerwone tło, niebiesko-biały krzyż)","Islanda (sfondo blu, croce rossa e bianca), Norvegia (sfondo rosso, croce blu e bianca)","Island (blå baggrund, rødt og hvidt kors), Norge (rød baggrund, blåt og hvidt kors)"
Iceland,"Norway (red background, blue cross), Faroe Islands (white background, red and blue cross)","Norwegen (roter Hintergrund, blaues Kreuz), Färöer (weißer Hintergrund, rotes und blaues Kreuz)","Noruega (fondo rojo, cruz azul), Islas Feroe (fondo blanco, cruz roja y azul)","Norvège (fond rouge, croix bleue), Îles Féroé (fond blanc, croix rouge et bleue)","Norge (rød bakgrunn, blått kors), Færøyene (hvit bakgrunn, rødt og blått kors)","Norsko (červené pozadí, modrý a bílý kříž), Faerské ostrovy (bílé pozadí, červený a modrý kříž)","Норвегия (красный фон, синий крест), Фарерские острова (Белый фон, красный и синий крест)","Noorwegen (rode achtergrond, blauw kruis), Faeröer (witte achtergrond, rood/blauw kruis)","Norge (röd bakgrund, blått kors), Färöarna (vit bakgrund, rött och blått kors)","Noruega (fundo vermelho, cruz azul) e Ilhas Faroé (fundo branco, cruz vermelha e azul)",挪威(红底蓝十字)、法罗群岛(白底红蓝十字),挪威(紅底、藍十字),"Norwegia (czerwone tło, niebieski krzyż), Wyspy Owcze (białe tło, czerwono-niebieski krzyż)","Norvegia (sfondo rosso, croce blu), Fær Øer (sfondo bianco, croce rossa e blu)","Norge (rød baggrund, blåt og hvidt kors), Færøerne (hvid baggrund, rødt og blåt kors)"
Ireland,"Ivory Coast (green and orange flipped, narrower)","Elfenbeinküste (Grün und Orange vertauscht, schmaler)","Costa de Marfil (verde y naranja intercambiados, más estrecha)","Côte d'Ivoire (vert et orange inversés, plus étroit)","Elfenbenskysten (grønn og oransj har byttet plass, smalere)","Pobřeží slonoviny (prohozená zelená a oranžová, užší)","Кот-д'Ивуар (зеленый и оранжевый перевернутый, более узкий)","Ivoorkust (groen en oranje omgekeerd, smaller)","Elfenbenskusten (grön och orange växlade, smalare)","Costa do Marfim (verde e laranja invertidos, mais estreita)",科特迪瓦(绿色和橙色翻转，更窄),象牙海岸(綠橘對調、更窄),"Wybrzeże Kości Słoniowej (zamieniona zieleń i pomarańcz, węższa)","Costa d'Avorio (verde e arancione invertiti, più stretta)","Elfenbenskysten (grøn og orange byttet rundt, smallere)"
Latvia,"Austria (brighter red, wider white band)","Österreich (helleres Rot, breiteres weißes Band)","Austria (rojo más vivo, banda blanca más ancha)","Autriche (rouge plus clair, bande blanche plus large)","Østerrike (lysere rød, brede hvit stripe)","Rakousko (světlejší červená, širší bílý pruh)","Австрия (ярче красный, шире белая полоса)","Oostenrijk (helderder rood, bredere witte band)","Österrike (ljusare röd, bredare vitt band)","Áustria (vermelho mais brilhante, faixa branca mais larga)",奥地利(更亮的红色，更宽的白色带),奧地利(更淺紅色、白線較寬),"Austria (jaśniejsza czerwień, szerszy biały pas)","Austria (rosso più chiaro, banda bianca più larga)","Østrig (lysere rød, bredere hvid stribe)"
Luxembourg,Netherlands (darker blue),Niederlande (dunkleres Blau),Países Bajos (azul más oscuro),Pays-Bas (bleu plus foncé),Nederland (mørkere blå),Nizozemsko (tmavší modrá),Нидерланды (темно-синий),Nederland (donkerder blauw),Nederländerna (mörkare blå),Países Baixos (azul mais escuro),荷兰(深蓝色),荷蘭(更深藍),Holandia (ciemniejszy niebieski),Paesi Bassi (blu più scuro),Nederlandene (mørkere blå)
Moldova,"Andorra (narrower, coat of arms with motto)","Andorra (schmaler, Wappen mit Wahlspruch)","Andorra (más estrecha, escudo con lema)","Andorre (plus étroit, blason avec devise)","Andorra (smalere, våpen med valgspråk)","Andorra (užší, erb s mottem)","Андорра (уже, герб с девизом)","Andorra (smaller, wapen met het motto)","Andorra (smalare, vapensköld med valspråk)","Andorra (mais estreita, brasão com lema)",安道尔(更窄，带有座右铭的纹章),安道爾(更窄、徽章),"Andora (węższa, godło z dewizą)","Andorra (più stretta, stemma con motto)","Andora (smallere, våbenskjold med motto)"
Monaco,"Indonesia (wider, brighter red), Poland (red and white flipped, wider)","Indonesien (breiter, helleres Rot), Polen (Rot und Weiß vertauscht, breiter)","Indonesia (más ancha, rojo más vivo), Polonia (rojo y blanco intercambiados, más ancha)","Indonésie (plus large, rouge plus clair), Pologne (rouge et blanc inversés, plus large)","Indonesia (bredere, lysere rød), Polen (rødt og hvitt byttet, bredere)","Indonésie (širší, světlejší červená), Polsko (prohozená červená a bílá, širší)","Индонезия (шире, ярче красного), Польша (красно-белый перевернутый, шире)","Indonesië (breder, helderder rood), Polen (rood en wit omgekeerd, breder)","Indonesien (bredare, ljusare röd), Polen (röd och vit växlade, bredare)","Indonésia (mais larga, vermelho mais brilhante) e Polônia (mais larga, vermelho e branco invertidos)",印度尼西亚(更宽，红色更亮)，波兰(红色和白色翻转，更宽),印尼(更寬、更淺紅)、波蘭(紅白對調、更寬),"Indonezja (szersza, jaśniejsza czerwień), Polska (zamieniona czerwień i biel, szersza)","Indonesia (più larga, rosso più chiaro), Polonia (rosso e bianco invertiti, più larga)","Indonesien (bredere, lysere rød), Polen (rød og hvid byttet rundt, bredere)"
Netherlands,Luxembourg (lighter blue),Luxemburg (helleres Blau),Luxemburgo (azul más claro),Luxembourg (bleu plus clair),Luxembourg (lysere blå),Lucembursko (světlejší modrá),Люксембург (светло-голубой),Luxemburg (lichter blauw),Luxemburg (ljusare blå),do Luxemburgo (azul mais claro),卢森堡(浅蓝色),盧森堡(更淺藍),Luksemburg (jaśniejszy niebieski),Lussemburgo (blu più chiaro),Luxembourg (lysere blå)
Norway,"Iceland (blue background, red cross), Faroe Islands (white background, red and blue cross)","Island (blauer Hintergrund,rotes Kreuz), Färöer (weißer Hintergrund, rotes und blaues Kreuz)","Islandia (fondo azul, cruz roja), Islas Feroe (fondo blanco, cruz roja y azul)","Islande (fond bleu, croix rouge), Îles Féroé (fond blanc, croix rouge et bleue)","Island (blå bakgrunn, rødt kors), Færøyene (hvit bakgrunn, rødt og blått kors)","Island (modré pozadí, červený kříž), Faerské ostrovy (bílé pozadí, červený a modrý kříž)","Исландия (синий фон, красный крест), Фарерские острова (Белый фон, красный и синий крест)","IJsland (blauwe achtergrond, rood met wit kruis), Faeröer (witte achtergrond, rood/blauw kruis)","Island (blå bakgrund, rött kors), Färöarna (vit bakgrund, rött och blått kors)","Islândia (fundo azul, cruz vermelha) e Ilhas Faroé (fundo branco, cruz vermelha e azul)",冰岛(蓝底，红十字)，法罗群岛(白底，红蓝交叉),冰島(藍底、紅十字)、法羅群島(白底、紅藍十字),"Islandia (niebieskie tło, czerwony krzyż), Wyspy Owcze (białe tło, czerwono-niebieski krzyż)","Islanda (sfondo blu, croce rossa), Fær Øer (sfondo bianco, croce rossa e blu)","Island (blå baggrun, rødt kors), Færøerne (hvid baggrund, rødt og blåt kors)"
Poland,"Indonesia (white and red flipped, brighter red), Monaco (white and red flipped, narrower)","Indonesien (Weiß und Rot vertauscht, helleres Rot), Monaco (Weiß und Rot vertauscht, schmaler)","Indonesia (rojo y blanco intercambiados, rojo más vivo), Mónaco (rojo y blanco intercambiados, más estrecha)","Indonésie (blanc et rouge inversés, rouge plus clair), Monaco (blanc et rouge inversés, plus étroit)","Indonesia (rødt og hvitt byttet, lysere rød), Monaco (rødt og hvitt byttet, smalere)","Indonésie (prohozená bílá a červená), Monako (prohozená bílá a červená, užší)","Индонезия (белый и красный перевернутый, более яркий красный), Монако (белый и красный перевернутый, более узкий)","Indonesië (breder, helderder rood), Monaco (wit en rood omgekeerd, smaller)","Indonesien (vit och röd växlade, ljusare röd), Monaco (vit och röd växlade, smalare)","Indonésia (branco e vermelho invertidos, vermelho mais brilhante) e Mônaco (branco e vermelho invertidos, mais estreita)",印度尼西亚(白色和红色翻转，红色更亮)，摩纳哥(白色和红色翻转，更窄),印尼(白紅對調、更多紅色)、摩納哥(白紅對調、更窄),"Indonezja (zamieniona biel i czerwień, jaśniejsza czerwień), Monako (zamieniona biel i czerwień, węższa)","Indonesia (bianco e rosso invertiti, rosso più chiaro), Monaco (bianco e rosso invertiti, più stretta)","Indonesien (hvid og rød byttet rundt, lysere rød), Monaco (hvid og rød byttet rundt, smallere)"
Romania,Chad (slightly darker blue),Tschad (etwas dunkleres Blau),Chad (azul ligeramente más oscuro),Tchad (bleu légèrement plus foncé),Tsjad (noe mørkere blå),Čad (mírně tmavší modrá),Чад (чуть более темно-синий),Tsjaad (donkerder blauw),Tchad (aningen mörkare blå),Chade (azul ligeiramente mais escuro),乍得(略深蓝色),查德(稍更深藍),Czad (lekko ciemniejszy niebieski),Ciad (blu leggermente più scuro),Tchad (lidt mørkere blå)
Egypt,"Iraq (text instead of emblem), Yemen (no emblem)","Irak (Text anstatt Emblem), Jemen (kein Emblem)","Irak (texto en lugar de escudo), Yemen (sin escudo)","Irak (texte à la place de l'emblème), Yémen (pas d'emblème)","Jemen (blank midstripe), Irak (tekst)","Irák (text místo emblému), Jemen (bez emblému)","Ирак (текст вместо эмблемы), Йемен (без эмблемы)","Irak (tekst in plaats van embleem), Jemen (geen embleem)","Irak (text istället för statsvapen), Jemen (inget statsvapen)",Iraque (texto em vez de emblema) e Iêmen (sem emblema),伊拉克(文字代替徽记)、也门(无徽记),伊拉克(文字、無徽章)、葉門(無徽章),"Irak (napis zamiast godła), Jemen (brak godła)","Iraq (testo al posto dell'emblema), Yemen (senza emblema)","Irak (tekst i stedet for emblem), Yemen (intet emblem)"
Cameroon,"Senegal (green/yellow/red, green star)","Senegal (Grün/Gelb/Rot, grüner Stern)","Senegal (verde/amarillo/rojo, estrella verde)","Sénégal (vert/jaune/rouge, étoile verte)","Senegal (grønn/gul/rød, grønn stjerne)","Senegal (zelená/žlutá/červená, zelená hvězda)","Сенегал (зеленый/желтый/красный, зеленая звезда)","Senegal (groen/geel/rood, groene ster)","Senegal (grön/gul/röd, grön stjärna)","Senegal (verde/amarelo/vermelho, estrela verde)",塞内加尔(绿/黄/红，绿星),塞內加爾(綠黃紅、綠色星星),"Senegal (zielono-żółto-czerwona, zielona gwiazda)","Senegal (verde/giallo/rosso, stella verde)","Senegal (grøn/gul/rød, grøn stjerne)"
Chad,Romania (slightly lighter blue),Rumänien (etwas helleres Blau),Rumania (azul ligeramente más claro),Roumanie (bleu légèrement plus clair),Romania (noe lysere blå),Rumunsko (mírně světlejší modrá),Румыния (немного светлее синего цвета),Roemenië (lichter blauw),Rumänien (aningen ljusare blå),Romênia (azul ligeiramente mais claro),罗马尼亚(略浅蓝色),羅馬尼亞(稍微淺藍),Rumunia (lekko jaśniejszy niebieski),Romania (blu leggermente più chiaro),Rumænien (lidt lysere blå)
Ivory Coast,"Ireland (orange and green flipped, wider)","Irland (Orange und Grün vertauscht, breiter)","Irlanda (naranja y verde intercambiados, más ancha)","Irlande (orange et vert inversés, plus large)","Ireland (byttet plass på oransje og grønt, bredere)","Irsko (prohozená oranžová a zelená, širší)","Ирландия (оранжево - зеленый перевернутый, шире)","Ierland (oranje en groen omgekeerd, breder)","Irland (orange och grön växlade, bredare)","Irlanda (laranja e verde invertidos, mais larga)",爱尔兰(橙色和绿色翻转，更宽),愛爾蘭(橘綠對調、更寬),"Irlandia (zamieniona pomarańcz i zieleń, szersza)","Irlanda (arancione e verde invertiti, più larga)","Irland (orange og grøn byttet rundt, bredere)"
Mali,"Guinea (green and red flipped, slightly darker green)","Guinea (Grün und Rot vertauscht, etwas dunkleres Grün)","Guinea (verde y rojo intercambiados, verde ligeramente más oscuro)","Guinée (vert et rouge inversés, vert légèrement plus foncé)","Guinea (byttet plass på grønt og rødt, noe mørkere grønnfarge)","Guinea (prohozená zelená a červená, mírně tmavší zelená)","Гвинея (зеленая и красная перевернутая, чуть более темно-зеленая)","Guinee (groen en rood omgekeerd, donkerder groen)","Guinea (grön och röd växlade, aningen mörkare grön)","Guiné (verde e vermelho invertidos, verde ligeiramente mais escuro)",几内亚(绿色和红色翻转，绿色略深),圭亞那(綠紅對調、稍微深綠),"Gwinea (zamieniona zieleń i czerwień, lekko ciemniejsza zieleń)","Guinea (verde e rosso invertiti, verde leggermente più scuro)","Guinea (grøn og rød byttet rundt, lidt mørkere grøn)"
Senegal,"Cameroon (green/red/yellow, yellow star)","Kamerun (Grün/Rot/Gelb, gelber Stern)","Camerún (verde/rojo/amarillo, estrella amarilla)","Cameroun (vert/rouge/jaune, étoile jaune)","Kamerun (grønn/rød/gul, gul stjerne)","Kamerun (zelená/červená/žlutá, žlutá hvězda)","Камерун (зеленый/красный/желтый, желтая звезда)","Kameroen (groen/rood/geel, gele ster)","Kamerun (grön/röd/gul, gul stjärna)","Camarões (verde/vermelho/amarelo, estrela amarela)",喀麦隆(绿/红/黄，黄星),喀麥隆(綠紅黃、黃色星星),"Kamerun (zielono-czerwono-żółta, żółta gwiazda)","Camerun (verde/rosso/giallo, stella gialla)","Cameroun (grøn/rød/gul, gul stjerne)"
