country,capital info,capital info:de,capital info:es,capital info:fr,capital info:nb
Benin,"While Porto-Novo is the official capital, Cotonou is the de facto seat of government.","Porto-Novo ist die offizielle Hauptstadt, aber Cotonou ist der Regierungssitz.","Aunque Porto Novo es la capital oficial, Cotonú es la capital de facto.","Bien que Porto-Novo soit la capitale officielle, Cotonou est le siège du gouvernement.","Porto-Novo er offisiell hovedstad, mens Cotonou er de facto regjeringssete."
Bolivia,"While Sucre is the constitutional capital, La Paz is the seat of government.","Sucre ist die offizielle Hauptstadt, aber La Paz ist der Regierungssitz.","Aunque Sucre es la capital constitucional, La Paz es sede de gobierno.","Bien que Sucre soit la capitale constitutionnelle, La Paz est le siège du gouvernement.","Sucre er offisiell hovedstat, mens La Paz er regjeringssete."
Burundi,Official capital was moved from Bujumbura to Gitega in 2019.,Die offizielle Hauptstadt wurde 2019 von Bujumbura nach Gitega verlegt.,La capital oficial se cambió de Buyumbura a Gitega en 2019.,La capitale officielle a été déplacée de Bujumbura à Gitega en février 2019.,Hovedstad flyttet i februar 2019. Bujumbura er fortsatt regjeringssete og økonomisk hovedstad.
Eswatini,"While Mbabane is the official, executive capital, Lobamba is the traditional, spiritual and legislative capital.","Mbabane ist die offizielle Haupstadt, aber Lobamba ist die traditionelle Haupstadt und Sitz des nationalen Parlaments.","Aunque Mbabane es la capital oficial y ejecutiva, Lobamba es la capital tradicional, espiritual y legislativa.","Bien que Mbabane soit la capitale exécutive officielle, Lobamba est la capitale traditionnelle, spirituelle et légistlative.","Mbabane offisiell, utøvende hovedstad, mens Lobamba er tradisjonell, åndelig og lovgivende hovedstad."
European Union,"Brussels is the seat of the executive branch, but the European Union has institutions in other European cities.","Brüssel ist der Sitz der Exekutive, aber es gibt auch Institutionen der Europäischen Union in anderen europäischen Städten.","Bruselas es la capital institucional, pero hay más sedes institucionales de la Unión Europea.","Bruxelles est le siège du pouvoir exécutif, mais l'Union européenne a des institutions dans d'autres villes européennes.","Den europeiske unions institusjoner har hjemsteder i flere europeiske byer, inkludert Brussel (Europakommisjonen), Strasbourg (Europaparlamentet) og Luxembourg (Den europeiske unions domstol)."
Finland,,,,,"Helsinki er det finske navnet, men Utenriksdepartementet i Norge anbefaler å bruke byens svenske navn."
Greenland,,,,,På dansk Godthåb.
Ivory Coast,"While Yamoussoukro is the official capital, Abidjan is the de facto seat of government.","Yamoussoukro ist die offizielle Hauptstadt, aber Abidjan ist der Regierungssitz.","Aunque Yamusukro es la capital oficial, Abiyán es la capital de facto.","Bien que Yamoussoukro soit la capitale officielle, Abidjan est le siège du gouvernement.","Yamoussoukro er offisiell hovedstad, mens Abidjan er de facto regjeringssete."
Kazakhstan,Known as Astana until March 2019.,Auch Nur-Sultan. Früher Astana.,Conocida como Astaná hasta marzo de 2019.,Connue sous le nom d'Astana jusqu'en mai 2019.,"Omdøpt til Nur-Sultan i mars 2019, men Utenriksdepartementet i Norge bruker per september 2019 det gamle navnet."
Kiribati,,,,,Mange regner Bairiki som Kiribatis hovedstad (også Utenriksdepartementet i Norge) fordi både parlamentet og presidenten en gang hadde sete der. Siden år 2000 har parlamentet og departementer blitt spredd utover Syd-Tarawa.
Luxembourg,Officially Luxembourg.,,,,
Mongolia,,,,,Også kjent som Ulan Bator.
Montenegro,Cetinje is an honorary capital.,Cetinje ist eine Ehrenhauptstadt.,Podgorica es la capital principal; Cetiña es la capital honoraria.,Cetinje est une capitale honoraire.,Administrativ hovedstad. Cetinje er historisk hovedstad og presidentens tilholdssted.
Myanmar,,,,,Hovedstad flyttet til Naypyidaw (Nay Pyi Taw) fra Yangon (tidl. Rangoon) i 2005
Nauru,Nauru has no official capital; the Yaren District is the de facto capital.,Nauru hat keine offizielle Hauptstadt; der Yaren District ist der Regierungssitz.,Nauru no tiene capital oficial; el distrito de Yaren es la capital de facto.,Nauru n'a pas de capitale officielle ; le district de Yaren est la capitale de fait.,Nauru har ingen offisiell hovedstad; Yaren er regjeringssete.
Netherlands,"While Amsterdam is the official capital, The Hague is the seat of the executive and legislative branches.","Amsterdam ist die offizielle Hauptstadt, während Den Haag Parlaments- und Regierungssitz ist.","Aunque Ámsterdam es la capital oficial, La Haya es la sede del gobierno y del poder legislativo.","Bien qu'Amsterdam soit la capitale officielle, La Haye est le siège du gouvernement et du parlement.",Nasjonalforsamling og regjering i Haag.
Palestine,,,,,"Jerusalem er proklamert hovedstad, mens Ramallah er administrativ hovedstad"
Sahrawi Arab Democratic Republic,"While Laayoune, also known as El Aaiún, is the declared capital, Tifariti is the de facto seat of government.","El Aaiún ist die erklärte Hauptstadt, aber Tifariti ist der Regierungssitz.","Aunque El Aaiún es la capital proclamada, Tifariti es la capital de facto.","Bien que Laâyoune soit la capitale déclarée, Tifariti est le siège du gouvernement.",
South Africa,"South Africa has no legally defined capital: the branches of government are split over three cities: Pretoria (executive), Cape Town (legislative) and Bloemfontein (judicial).","Die Regierung sitzt in Pretoria (Exekutive), das Parlament in Kapstadt (Legislative) und das Oberste Berufungsgericht in Bloemfontein (Judikative).","Sudáfrica no tiene capital oficial: los poderes del Estado están repartidos en tres ciudades: Pretoria (ejecutivo), Ciudad del Cabo (legislativo) y Bloemfontein (judicial).","L'Afrique du Sud n'a pas de capitale officielle. Les branches du gouvernement sont réparties sur trois villes : Pretoria (exécutive), Le Cap (législative) et Bloemfontein (judiciaire).","Sør-Afrika har ingen fastsatt hovedstad; makten er fordelt på tre byer: Pretoria (utøvende), Cape Town (lovgivende) og Bloemfontein (dømmende)."
Sri Lanka,"Colombo is often referred to as the capital but Sri Jayawardenepura Kotte, a suburb of Colombo, is the official, legislative capital.","Colombo wird oft als die Hauptstadt bezeichnet, aber Sri Jayawardenepura Kotte, ein Vorort von Colombo, ist die offizielle, legislative Hauptstadt.","Colombo es a menudo referida como la capital, pero Sri Jayawardenapura Kotte, un barrio de Colombo, es la capital oficial y legislativa.","On fait souvent référence à Colombo comme capitale, mais Sri Jayawardenapura Kotte, une ville de la banlieue de Colombo, est la capitale législative officielle.",Regjeringen har sete i Colombo. Sri Jayawardenepura Kotte (kalt Kotte) er en forstad til Colombo der nasjonalforsamlingen har sete. Kotte er altså lovgivende hovedstad.
Switzerland,Switzerland has no official capital; Bern is the de facto capital.,Die Schweiz hat keine offizielle Hauptstadt; Bern ist der Regierungssitz.,Suiza no tiene capital oficial; Berna es la capital de facto.,La Suisse n'a pas de capitale officielle ; Berne est la capitale de fait.,Sveits har ingen offisiell hovedstad. Bern er regjeringssete.
Tanzania,"While Dodoma is the official capital, Dar es Salaam is the de facto seat of government.","Dodoma ist die offizielle Hauptstadt, aber Dar es Salaam ist der Regierungssitz.","Aunque Dodoma es la capital oficial, Dar es-Salam es la capital de facto.","Bien que Dodoma soit la capitale officielle, Dar es Salaam est le siège du gouvernement.","Dodoma er offisiell hovedstad, mens Dar es Salaam er regjeringssete."
Turkmenistan,,,,,Også kjent som Asjgabat.
Tuvalu,,,,,"Vaiaku er en landsby på atollen Funafuti, som er Tuvalus hovedstad. Alle administrative bygninger ligger i Vaiaku."
Ukraine,,,,,Også kjent som Kyiv.
